What is your university name ?,What is your current level of education?,How often do you use AI tools like ChatGPT  for academic purposes?,How do you think ChatGPT has influenced teaching methods in your courses?,Has ChatGPT influenced your approach to solving complex academic problems or  assignments  ? ,Do you use ChatGPT for group study or collaborative learning ?,Do you feel that AI assists you in self-paced learning ?, Does ChatGPT help improve critical thinking and problem-solving?,"Has ChatGPT provided useful guidance on your career path or educational choices ?",How worried are you about the privacy and safety of your personal data when using AI tools like ChatGPT for academic tasks?,Do you think relying too much on AI tools like ChatGPT could harm students creativity and critical thinking skills?,Do you believe using AI tools like ChatGPT reduces your creativity and critical thinking?,Do you believe AI tools (like ChatGPT) improve your learning experience?
Shaheed Ziaur Rahman Medical College ,Undergraduate,Never,I am not sure how it affects teaching methods,No,No,No,No,No,Somewhat worried,Agree,Yes,Maybe
Shaheed Ziaur Rahman Medical College ,Undergraduate,Never,I am not sure how it affects teaching methods,No,No,No,No,No,Somewhat worried,Strongly agree,Yes,Maybe
Shaheed Ziaur Rahman Medical College ,Undergraduate,Never,I am not sure how it affects teaching methods,No,No,No,No,No,Somewhat worried,Disagree,Sometimes,Maybe
DAFFODIL International University ,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Daffodil international University ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,No,Yes,Yes,worried,Strongly agree,Yes,Yes
Daffodil international University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Daffodil international University ,Undergraduate,Weekly,I am not sure how it affects teaching methods,Yes,Yes,Yes,Yes,Yes,Not worried,Strongly agree,Sometimes,Yes
Daffodil international University ,Undergraduate,Daily,I am not sure how it affects teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Daffodil international University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Sometimes,Yes
Daffodil international University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Daffodil international University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Daffodil international University ,Postgraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Strongly agree,Yes,Yes
Daffodil international University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Daffodil international University ,Postgraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Daffodil international University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Daffodil international University ,Postgraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Strongly agree,Yes,Yes
Daffodil international University ,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Not worried,Strongly agree,Yes,Yes
Daffodil international University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
University of Rajshahi ,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
University of Rajshahi ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
University of Rajshahi ,Postgraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Not Sure,Somewhat worried,Strongly agree,Yes,Yes
RU,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
University of Rajshahi ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Strongly agree,Yes,Yes
University of Rajshahi ,Postgraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,worried,Agree,Yes,Yes
City University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Daffodil international University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Not worried,Agree,Yes,Yes
Daffodil International University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Yes,Not worried,Agree,No,Yes
 Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Yes,Not Sure,Not Sure,worried,Agree,Yes,Maybe
Daffodil International University ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Not Sure,Somewhat worried,Neutral,No,Yes
Daffodil international University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Sometimes,Yes
Daffodil international university ,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Daffodil international University ,Undergraduate,Weekly,I am not sure how it affects teaching methods,No,Yes,Yes,Yes,Not Sure,Somewhat worried,Neutral,Sometimes,Yes
Daffodil International University ,Undergraduate,Weekly,I am not sure how it affects teaching methods,Yes,Yes,Yes,Yes,Yes,"worried, Somewhat worried",Agree,Sometimes,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Disagree,Sometimes,Yes
Daffodil international university ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Sometimes,Maybe
Daffodil International University ,Undergraduate,Monthly,It has had no impact on teaching methods,No,No,No,No,Yes,Not worried,Strongly agree,Yes,No
Daffodil International University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,No,Somewhat worried,Strongly agree,Yes,Yes
Daffodil international university ,Undergraduate,Weekly,It has had no impact on teaching methods,Yes,Sometime,Not Sure,Not Sure,Not Sure,Somewhat worried,Agree,Sometimes,Maybe
Daffodil international University ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,Somewhat worried,Strongly agree,Yes,Yes
Daffodil international University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Disagree,Yes,Yes
Daffodil International University ,Undergraduate,Daily,I am not sure how it affects teaching methods,Yes,No,Yes,Not Sure,Not Sure,Somewhat worried,Strongly agree,Yes,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Yes,No,Yes,Not worried,Neutral,Yes,No
Daffodil International University ,Undergraduate,Monthly,I am not sure how it affects teaching methods,Yes,Yes,Yes,Not Sure,Yes,Somewhat worried,Strongly agree,Sometimes,Yes
Daffodil International  University ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,No,Not Sure,Yes,Not Sure,Somewhat worried,Neutral,Sometimes,Yes
Daffodil International University ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Not Sure,Yes,Yes,Somewhat worried,Agree,Yes,Maybe
Daffodil International University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Not worried,Agree,No,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Sometimes,Maybe
University of Rajshahi,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Daffodil International university ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Not Sure,worried,Agree,Sometimes,Yes
university of Rajshahi ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
University  of rajshahi,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
University  of rajshahi,Undergraduate,Weekly,It has had no impact on teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
university of rajshahi,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
university of rajshahi,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
university of rajshahi,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,No,Yes,Yes,Somewhat worried,Strongly agree,Sometimes,Yes
university of rajshahi,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
university of rajshahi,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Daffodil International University ,Undergraduate,Daily,It has improved teaching methods significantly,No,Yes,Yes,Yes,No,Somewhat worried,Strongly agree,Yes,No
Daffodil International University ,Undergraduate,Monthly,It has slightly improved teaching methods,No,No,No,No,No,Somewhat worried,Neutral,Sometimes,Maybe
Daffodil International University ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Daffodil international university ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
University of Rajshahi ,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
University of Rajshahi,Postgraduate,Daily,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
University of Rajshahi,Undergraduate,Daily,It has slightly improved teaching methods,Not Sure,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
University of Rajshahi,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Daffodil International University ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Strongly agree,Yes,Yes
University of Rajshahi,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
University of Rajshahi,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
University of Rajshahi,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Daffodil International University ,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Not Sure,Yes,Not Sure,worried,Agree,Sometimes,Yes
University of Rajshahi,Postgraduate,Daily,It has slightly improved teaching methods,Yes,Yes,No,Yes,Yes,Somewhat worried,Strongly agree,Yes,Yes
DIU,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Not Sure,worried,Strongly disagree,Yes,No
DIU,Undergraduate,Daily,It has slightly improved teaching methods,Not Sure,Yes,Not Sure,Not Sure,Not Sure,Somewhat worried,Neutral,Yes,Yes
Daffodil International University,Undergraduate,Weekly,It has slightly improved teaching methods,No,No,Not Sure,No,Yes,Somewhat worried,Strongly agree,Yes,Yes
Daffodil International  University ,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Not Sure,No,Yes,Somewhat worried,Strongly agree,Yes,Maybe
Daffodil International University ,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Not worried,Agree,Sometimes,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Not Sure,Yes,Yes,Somewhat worried,Agree,Sometimes,Yes
Daffodil International University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,Not worried,Disagree,No,Yes
Daffodil International University ,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,No,Yes,Somewhat worried,Agree,Yes,No
Daffodils International University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Yes,Not Sure,Yes,worried,Agree,Sometimes,Yes
Daffodil International University ,Undergraduate,Weekly,It has improved teaching methods significantly,No,Sometime,Not Sure,No,No,Somewhat worried,Agree,Yes,Maybe
Daffodil International University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,No,No,No,Somewhat worried,Strongly agree,Yes,Maybe
Daffodil International University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Not worried,Neutral,Yes,No
Daffodil International University ,Undergraduate,Monthly,It has improved teaching methods significantly,Yes,No,Yes,Yes,Yes,Not worried,Neutral,Sometimes,Yes
Daffodil international University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,No,Yes,Yes,Yes,Not worried,Agree,Sometimes,Maybe
Daffodil international University ,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,No,Yes,Not Sure,Somewhat worried,Agree,Sometimes,Maybe
Daffodil International University ,Undergraduate,Weekly,It has had no impact on teaching methods,No,No,Yes,No,No,Somewhat worried,Agree,No,No
Daffodil International University,Undergraduate,Daily,I am not sure how it affects teaching methods,Yes,Yes,Yes,Not Sure,Yes,Somewhat worried,Strongly agree,Yes,Yes
Daffodil international University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Daffodil international University ,Undergraduate,Monthly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Daffodil international University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Daffodil international University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Daffodil international University ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Daffodil International university ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Not Sure,Yes,worried,Agree,Sometimes,Yes
Daffodil International University ,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Not Sure,Yes,Not Sure,"Somewhat worried, Not worried",Agree,Sometimes,Yes
Daffodil international University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,Not worried,Strongly agree,Yes,Yes
Daffodil International University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,No,Yes,Yes,Not worried,Neutral,Yes,Yes
Daffodil International University,Undergraduate,Monthly,It has slightly improved teaching methods,Yes,Sometime,Not Sure,Not Sure,Yes,Somewhat worried,Agree,Sometimes,Maybe
Daffodil International University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Neutral,Yes,Yes
Daffodil international university ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Sometimes,Yes
Daffodil international university,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Daffodil International University ,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,No,Somewhat worried,Agree,Sometimes,Yes
Daffodil International University ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,No,Yes,worried,Agree,Sometimes,Yes
Daffodil International University ,Postgraduate,Never,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,"worried, Somewhat worried",Agree,Sometimes,Yes
Daffodil International University ,Undergraduate,Monthly,It has slightly improved teaching methods,Yes,Sometime,Not Sure,Yes,Not Sure,"Somewhat worried, Not worried",Neutral,Sometimes,Maybe
Daffodil international University ,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Daffodil international University ,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Daffodil international University ,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Daffodil international University ,Undergraduate,Monthly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
City University ,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
